name,arm,distance,condition,measure,lens,layer,rank
Elias,inferred,10,control,trait,jlens,26,8
Elias,inferred,10,control,trait,logit,26,6
Elias,inferred,30,baseline,trait,jlens,13,726
Elias,inferred,30,baseline,trait,logit,13,12558
Elias,inferred,30,baseline,trait,jlens,14,1180
Elias,inferred,30,baseline,trait,logit,14,6956
Elias,inferred,30,baseline,trait,jlens,15,1019
Elias,inferred,30,baseline,trait,logit,15,3272
Elias,inferred,30,baseline,trait,jlens,16,1104
Elias,inferred,30,baseline,trait,logit,16,896
Elias,inferred,30,baseline,trait,jlens,17,112
Elias,inferred,30,baseline,trait,logit,17,45
Elias,inferred,30,baseline,trait,jlens,18,104
Elias,inferred,30,baseline,trait,logit,18,29
Elias,inferred,30,baseline,trait,jlens,19,54
Elias,inferred,30,baseline,trait,logit,19,30
Elias,inferred,30,baseline,trait,jlens,20,43
Elias,inferred,30,baseline,trait,logit,20,11
Elias,inferred,30,baseline,trait,jlens,21,25
Elias,inferred,30,baseline,trait,logit,21,11
Elias,inferred,30,baseline,trait,jlens,22,17
Elias,inferred,30,baseline,trait,logit,22,13
Elias,inferred,30,baseline,trait,jlens,23,27
Elias,inferred,30,baseline,trait,logit,23,13
Elias,inferred,30,baseline,trait,jlens,24,9
Elias,inferred,30,baseline,trait,logit,24,4
Elias,inferred,30,baseline,trait,jlens,25,11
Elias,inferred,30,baseline,trait,logit,25,5
Elias,inferred,30,baseline,trait,jlens,26,7
Elias,inferred,30,baseline,trait,logit,26,4
Elias,inferred,30,scene,trait,jlens,13,997
Elias,inferred,30,scene,trait,logit,13,14132
Elias,inferred,30,scene,trait,jlens,14,1371
Elias,inferred,30,scene,trait,logit,14,8681
Elias,inferred,30,scene,trait,jlens,15,747
Elias,inferred,30,scene,trait,logit,15,3183
Elias,inferred,30,scene,trait,jlens,16,927
Elias,inferred,30,scene,trait,logit,16,1478
Elias,inferred,30,scene,trait,jlens,17,201
Elias,inferred,30,scene,trait,logit,17,179
Elias,inferred,30,scene,trait,jlens,18,274
Elias,inferred,30,scene,trait,logit,18,136
Elias,inferred,30,scene,trait,jlens,19,85
Elias,inferred,30,scene,trait,logit,19,75
Elias,inferred,30,scene,trait,jlens,20,159
Elias,inferred,30,scene,trait,logit,20,148
Elias,inferred,30,scene,trait,jlens,21,378
Elias,inferred,30,scene,trait,logit,21,180
Elias,inferred,30,scene,trait,jlens,22,561
Elias,inferred,30,scene,trait,logit,22,468
Elias,inferred,30,scene,trait,jlens,23,177
Elias,inferred,30,scene,trait,logit,23,138
Elias,inferred,30,scene,trait,jlens,24,137
Elias,inferred,30,scene,trait,logit,24,118
Elias,inferred,30,scene,trait,jlens,25,234
Elias,inferred,30,scene,trait,logit,25,140
Elias,inferred,30,scene,trait,jlens,26,319
Elias,inferred,30,scene,trait,logit,26,149
Elias,inferred,30,control,trait,jlens,13,807
Elias,inferred,30,control,trait,logit,13,15902
Elias,inferred,30,control,trait,jlens,14,1490
Elias,inferred,30,control,trait,logit,14,6839
Elias,inferred,30,control,trait,jlens,15,850
Elias,inferred,30,control,trait,logit,15,2902
Elias,inferred,30,control,trait,jlens,16,1123
Elias,inferred,30,control,trait,logit,16,734
Elias,inferred,30,control,trait,jlens,17,116
Elias,inferred,30,control,trait,logit,17,37
Elias,inferred,30,control,trait,jlens,18,100
Elias,inferred,30,control,trait,logit,18,24
Elias,inferred,30,control,trait,jlens,19,43
Elias,inferred,30,control,trait,logit,19,27
Elias,inferred,30,control,trait,jlens,20,32
Elias,inferred,30,control,trait,logit,20,8
Elias,inferred,30,control,trait,jlens,21,17
Elias,inferred,30,control,trait,logit,21,11
Elias,inferred,30,control,trait,jlens,22,17
Elias,inferred,30,control,trait,logit,22,11
Elias,inferred,30,control,trait,jlens,23,23
Elias,inferred,30,control,trait,logit,23,12
Elias,inferred,30,control,trait,jlens,24,8
Elias,inferred,30,control,trait,logit,24,4
Elias,inferred,30,control,trait,jlens,25,9
Elias,inferred,30,control,trait,logit,25,5
Elias,inferred,30,control,trait,jlens,26,6
Elias,inferred,30,control,trait,logit,26,4
Maria,inferred,0,baseline,trait,jlens,13,1255
